Type,Value,Other Values
a,fær,
a,afbrigðilegur,
a,fjarstaddur,
a,fullkomlegur,
a,óhlutbundinn,sérstæður
a,ríkulegur,nógur
a,bóklegur,
a,ásættanlegur,skaplegur
a,aðgengilegur,auðfenginn
a,nákvæmur,áreiðanlegur
a,virkur,þróttmikill
a,oddhvass,
a,háður,
a,nægjanlegur,fullnægjandi
a,fagurfræðilegur,
a,hræddur,banginn
a,ágengur,áleitinn
a,fimur,lipur
a,búskaparlegur,
a,vökull,árvakur
a,lifandi,á lífi
a,fálátur,fjarlægur
a,gulbrúnn,
a,tvíræður,vafasamur
a,metnaðargjarn,metnaðarfullur
a,ríflegur,rúmgóður
a,reiður,bálreiður
a,árlegur,
a,nafnlaus,
a,hagnýtur,
a,tilhlýðilegur,eins og vera ber
a,geðþóttalegur,
a,fornleifafræðilegur,
a,hrokafullur,belgingslegur
a,gervi,
a,listrænn,
a,sneyptur,sneypilegur
a,sofandi,
a,skeleggur,ákveðinn
a,undraverður,undrunarverður
a,aðlaðandi,geðslegur
a,sjálfkrafa,
a,laus,tiltækur
a,vakandi,
a,meðvitandi,vitandi
a,agalegur,ferlegur
a,vandræðalegur,
a,vondur,slæmur
a,lélegur,vondur
a,skemmdur,
a,jafnvægur,
a,sköllóttur,hárlaus
a,ber,
a,grundvallar,
a,fallegur,fagur
a,bitur,apur
a,beiskur,súr
a,svartur,
a,bragðlítill,bragðlaus
a,auður,
a,blindur,ósjáandi
a,ljóshærður,bjarthærður
a,blóðugur,
a,frakkur,áleitinn
a,hugaður,frækinn
a,brotinn,bilaður
a,brúnn,móbrúnn
a,skrifræðis,
a,upptekinn,vant við látinn
a,megnugur,
a,gætinn,vandvirkur
a,aðgætinn,
a,miðlægur,
a,viss,ákveðinn
a,einkennandi,
a,gæddur persónutöfrum,
a,ódýr,billegur
a,kátur,
a,barnalegur,auðtrúa
a,þrálátur,langvinnur
a,borgarlegur,
a,óbreyttur borgari,almennur borgari
a,sígildur,klassískur
a,hreinn,hreinlegur
a,heiður,
a,augljós,auðséður
a,náinn,
a,nálægur,á næstu grösum
a,lokaður,
a,kaldur,ahrákaldur
a,kaldlyndur,
a,litblindur,
a,litríkur,
a,þægilegur,
a,verslunar,
a,algengur,
a,sameiginlegur,
a,sameiginlegur,félags
a,sambærilegur,
a,samrýmanlegur,samræmur
a,hæfur,fær
a,samkeppnishæfur,
a,fullbúinn,fullgerður
a,flókinn,margbrotinn
a,yfirgripsmikill,víðtækur
a,hlutkenndur,
a,öruggur,fullviss
a,meðvitaður,
a,íhaldssamur,afturhaldssamur
a,allverulegur,allmikill
a,umtalsverður,talsverður
a,sífelldur,stöðugur
a,stöðugur,látlaus
a,stjórnskipulegur,
a,uppbyggjandi,
a,ásáttur,
a,heimsálfu,
a,samfelldur,látlaus
a,umdeildur,
a,handhægur,auðveldur
a,vanabundinn,
a,svalur,kaldur
a,kuldalegur,hryssingslegur
a,samvinnuþýður,
a,fyrirtækis,
a,gagnrýninn,aðfinnslusamur
a,alvarlegur,tvísýnn
a,þýðingarmikill,nauðsynlegur
a,óunninn,hrár
a,grófur,klúr
a,grimmur,
a,menningarlegur,
a,forvitinn,
a,núgildandi,
a,sætur,aðlaðandi
a,daglegur,
a,hættulegur,háskalegur
a,dimmur,
a,látinn,
a,lífshættulegur,mannhættur
a,heyrnarlaus,daufur
a,afgerandi,
a,skrautlegur,fagur
a,djúpur,
a,fínlegur,fíngerður
a,veikbyggður,viðkvæmur
a,lýðræðislegur,
a,ósjálfstæður,háður
a,ákjósanlegur,eftirsóknarverður
a,ólíkur,frábrugðinn
a,erfiður,amasamur
a,stafrænn,
a,háttvís,
a,tæpitungulaus,hvatorður
a,óhreinn,skítugur
a,klúr,
a,þagmælskur,sagnafár
a,fjarlægur,firð
a,skýr,greinilegur
a,innanríkis,
a,heimilis,
a,allsráðandi,
a,leikrænn,
a,þurr,bleytulaus
a,gjaldfallinn,
a,sljór,bitlaus
a,leiðinlegur,bragðlítill
a,hreyfifræðilegur,
a,ákafur,
a,snemmbúinn,snemma
a,auðveldur,aðgengilegur
a,efnahagslegur,
a,menntunar,menningar
a,áhrifaríkur,
a,skilvirkur,afkastasamur
a,rafrænn,
a,glæsilegur,smekklegur
a,liðtækur,kjörgengur
a,mælskur,málsnjall
a,tilfinningalegur,
a,raunvísindalegur,
a,tómur,
a,hvetjandi,
a,ánægjulegur,
a,fullur ákafa,
a,umhverfis,
a,jafn,samstæður
a,grundvallar,megin
a,stofnað,sem hefð er fyrir
a,eilífur,
a,siðfræðilegur,
a,þjóðlegur,
a,jafn,
a,spenntur,eftirvæntingarfullur
a,spennandi,áhrifamikill
a,einskorðaður,
a,framandi,framandlegur
a,undarlegur,ankringislegur
a,væntanlegur,fyrirhugaður
a,dýr,dýrkeyptur
a,reyndur,vanur
a,tilrauna,
a,hraður,ferðmikill
a,utanverður,ytri
a,útdauður,aldauða
a,óvenjulegur,afbrigðilegur
a,sanngjarn,aðgengilegur
a,trúr,
a,rangur,falsaður
a,kunnuglegur,
a,nýtískulegur,nýtískur
a,hraður,
a,vandfýsinn,kostavandur
a,feitur,fitumukill
a,hagstæður,byrlegur
a,ríkis,
a,kvenlegur,fínlegur
a,fjárhags,
a,fínn,fínlegur
a,lokinn,
a,búinn að vera,úr leik
a,fyrstur,
a,milliliðalaus,
a,flatur,
a,gallaður,
a,liðugur,lipur
a,heimskulegur,andhælislegur
a,formlegur,formfastur
a,framarlegur,
a,ilmandi,
a,hreinskilinn,afdráttarlaus
a,frjáls,ánauðarlaus
a,ókeypis,eftirgjaldlaust
a,laus,frjáls
a,tíður,algengur
a,ferskur,glænýr
a,hortugur,frakkur
a,vingjarnlegur,almennilegur
a,frosinn,
a,fullur,
a,saddur,ánægður
a,gangfær,í lagi
a,fyndinn,skoplegur
a,almennur,altækur
a,gjafmildur,rausnarlegur
a,erfðafræðis,
a,ósvikinn,
a,landfræðilegur,
a,glaður,
a,dýrlegur,dásamlegur
a,hagstæður,tilvalinn
a,góður,réttlátur
a,mikilfenglegur,stórkostlegur
a,lýsandi,
a,myndrænn,
a,þakklátur,
a,frábær,
a,risa,
a,grænn,
a,félagslyndur,
a,nærtækur,innanhandar
a,hamingjusamur,ánægður
a,harður,
a,skaðlegur,skaðsamur
a,hörkulegur,
a,heilbrigður,
a,þungur,
a,hjálplegur,
a,bjargarlaus,
a,hár,
a,kostulegur,bráðskemmtilegur
a,sagnfræðilegur,
a,heilagur,
a,samkynhneigður,
a,heiðarlegur,ráðvandur
a,heiðvirður,
a,láréttur,
a,fjandsamlegur,fjandalegur
a,heitur,varmur
a,risastór,risavaxinn
a,mennskur,
a,svangur,hungraður
a,fáfróður,fákænn
a,ólöglegur,á móti lögum
a,ónæmur,ómóttækilegur
a,keisaralegur,
a,óljós,hulin
a,mikilvægur,markverður
a,ómögulegur,ófær
a,tilkomumikill,aðsúgsmikill
a,ófullnægjandi,ónógur
a,óviðeigandi,illa til fundið
a,getulaus,ófær
a,lygilegur,
a,sjálfstæður,óhlutbundinn
a,innfæddur,fæðingi
a,óbeinn,
a,innanhúss,innandyra
a,iðnaðar,
a,óhjákvæmilegur,nauðsynlegur
a,óendanlegur,
a,áhrifamikill,
a,óformlegur,
a,innri,
a,saklaus,flekklaus
a,ónógur,ófullnægjandi
a,samþáttað,
a,vitsmunalegur,andlegur
a,víxlverkandi,
a,áhugaverður,
a,milli,
a,innvortis,innri
a,alþjóðlegur,
a,ósýnilegur,hulinn
a,óviðkomandi,
a,afbrýðisamur,
a,dóm,
a,yngri,
a,réttlátur,réttmætur
a,vænn,brjóstgóður
a,stæðilegur,fastur fyrir
a,síðastur,aftastur
a,seinn,drægjulegur
a,nýjastur,
a,latur,dáðlaus
a,vinstri,
a,lagalegur,lögfræðilegur
a,löggjafar,
a,frjálslyndur,frjálshuga
a,léttur,
a,ljós,
a,ljós,glóra
a,líklegur,
a,takmarkaður,afmarkaður
a,línulegur,
a,vökvi,lögur
a,bókmenntalegur,
a,beint,
a,líflegur,fjörugur
a,rökréttur,rökfastur
a,einmana,einmanalegur
a,langur,
a,laus,hreyfanlegur
a,týndur,tapaður
a,villur,
a,hávær,aðsúgsmikill
a,lágur,
a,þunglyndur,amalegur
a,tryggur,dyggilegur
a,heppinn,happsamur
a,segulmagnaður,
a,aðal,höfuð
a,stórfelldur,mikill
a,fullveðja,lögráða
a,handknúinn,
a,sjávar,sæ
a,giftur,kvæntur
a,stærðfræðilegur,
a,þroskaður,fullorðinn
a,þroskaður,
a,hámark,
a,þýðingarmikill,
a,vélrænn,vélgengur
a,miðaldar,
a,eftirminnilegur,ráhugaverður
a,geðrænn,
a,miðstéttar,
a,mildur,blíður
a,her,hernaðar
a,lágmarks,
a,minniháttar,
a,auvirðilegur,
a,hreyfanlegur,
a,nútíma,
a,hógvær,hæverskur
a,sameindar,
a,ferlegur,afkárlegur
a,afskræmdur,
a,mánaðarlegur,
a,siðferðilegur,móralskur
a,átakanlegur,
a,margfaldur,
a,sveitafélaga,bæjarstjórnar
a,músíkalskur,
a,gagnkvæmur,gagnhverfur
a,þröngur,aðkrepptur
a,þröngsýnn,ófrjálslyndur
a,nauðsynlegur,sem nauðsyn ber til
a,neikvæður,
a,neikvæður,andrænn
a,taugastrekktur,taugaóstyrkur
a,fælinn,
a,hlutlaus,
a,nýr,nýstárlegur
a,óþekktur,
a,indæll,ljúfur
a,göfuglyndur,veglyndur
a,tiginn,göfugur
a,hnýsinn,forvitinn
a,eðlilegur,eðlislægur
a,illræmdur,
a,kjarnorku,
a,spikfeitur,akfeitur
a,hlutlægur,hlutbundinn
a,torskilinn,torræður
a,augljós,auðsær
a,atvinnu,
a,furðulegur,undarlegur
a,ónotalegur,afundinn
a,árásar,
a,opinber,
a,gamall,aldinn
a,opinn,
a,starfs,
a,andvígur,andsnúinn
a,bjartsýnn,
a,valfrjáls,
a,munnlegur,
a,venjulegur,hversdagslegur
a,lífrænn,
a,upprunalegur,
a,viðtekinn,algildur
a,annar,annar til
a,ytri,
a,útivið,
a,sársaukafullur,kvalafullur
a,samhliða,
a,lamaður,lama
a,foreldra,
a,hluta,
a,vandur,
a,sérstakur,einstakur
a,ástríðufullur,
a,aðgerðalaus,
a,liðinn,sem leið
a,þolinmóður,eirinn
a,friðsamlegur,friðsamur
a,fullkominn,
a,varanlegur,blífanlegur
a,persónulegur,sérstæður
a,smásálarlegur,smásmugulegur
a,heimspekilegur,fílósófískur
a,líkamlegur,
a,fábrotinn,
a,viðkunnanlegur,viðmótsþýður
a,kurteis,fagurmáll
a,pólitískur,
a,fátækur,allslaus
a,vinsæll,ástsæll
a,flytjanlegur,
a,jákvæður,frumlægur
a,mögulegur,sem getur gerst
a,valdamikill,sterkur
a,hagnýtur,gagnlegur
a,hagsýnn,aðdráttasamur
a,fyrirsjáanlegur,
a,ófrísk,
a,ótímabær,
a,nútíðar,
a,viðstaddur,nálægur
a,forseta,
a,aðal,
a,einka,prívat
a,forréttinda,
a,skapandi,
a,faglegur,
a,spekingslegur,andríkur
a,framsækinn,
a,langvarandi,
a,almennilegur,
a,hlutfallslegur,hlutbundinn
a,stoltur,
a,fylkis,
a,almennings,
a,tær,
a,ósvikinn,réttur
a,hæfur,fallinn til
a,megindlegur,
a,þögull,hljóðlaus
a,hljóður,
a,kynþátta,
a,tilviljanakenndur,
a,sjaldgæfur,dæmafár
a,vitænn,röklegur
a,hrár,
a,tilbúinn,gerður
a,raunverulegur,áþreifanlegur
a,ekta,
a,raunsær,
a,hæfilegur,
a,fljótfær,
a,staðbundinn,svæðisbundinn
a,reglulegur,formfastur
a,skyldur,í ætt við
a,tengdur,mægður
a,afstæður,
a,viðeigandi,sem skiptir máli
a,óbrigðull,áreiðanlegur
a,trúaður,trúhneigður
a,fulltrúa,
a,búsettur,
a,íbúðar,
a,virðulegur,tignarlegur
a,áreiðanlegur,
a,eirðarlaus,hvíldarlaus
a,hættur störfum sökum aldurs,
a,byltingar,þjóðfélagsbyltingar
a,ríkur,auðugur
a,rétt,
a,rómantískur,
a,rotinn,fúinn
a,ömurlegur,nöturlegur
a,grófur,grófgerður
a,kringlóttur,
a,sveita,landsbyggðar
a,sorgmæddur,angurmóður
a,öruggur,ártryggilegur
a,sómasamlegur,boðlegur
a,sáttur,
a,vísindalegur,
a,árstíðabundinn,
a,veraldlegur,heimslegur
a,verndaður,
a,eldri,
a,viðkvæmur,hörundsár
a,aðskilinn,
a,alvarlegur,alvörugefinn
a,kynferðislegur,
a,grunnur,
a,grunnhygginn,barnalegur
a,beittur,skarpur
a,lágvaxinn,stuttur
a,skammur,
a,feiminn,bljúgur
a,veikur,sjúkur
a,svipaður,áþekkur
a,einhleypur,ókvæntur
a,stakur,
a,fær,æfður
a,háll,skreipur
a,hægur,
a,lávaxinn,
a,klár,
a,sléttur,silkimjúkur
a,félagslegur,
a,þjóðfélagslegur,félagslegur
a,mjúkur,
a,hljóðlegur,
a,óáfengur,
a,sól,
a,fastur,
a,gegnheill,
a,fágaður,
a,gallalaus,
a,súr,
a,rúm,
a,tilgreindur,tiltekinn
a,ferhyrndur,fernings
a,stöðugur,
a,staðlaður,
a,tölfræðilegur,
a,brattur,
a,límugur,límkenndur
